Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1714381231
GapActivityDetailUpsell,1721466332
GapActivityDetailUpsell,1722452796
GapActivityDetailUpsell,1722452999
CompletedProfile,1713694381
RecordScreenBeaconCoachmark,1714367476
MapSettingsPersonalHeatmapCoachmark,1714381218
MapSettingsButtonPersonalHeatmapFeatureEd,1716131179
MapVisibilityFeedCoachmarkImpression,1714369727
MapVisibilityFeedCoachmarkImpression,1714369807
MapVisibilityFeedCoachmarkOrModalDismissed,1714381215
MapVisibilityRowReinforcementImpression,1717111187
MapVisibilityRowReinforcementImpression,1717157987
MapVisibilityRowReinforcementImpression,1717159829
MapVisibilityRowReinforcementImpression,1717364358
MapVisibilityRowReinforcementImpression,1717428502
MapVisibilityRowReinforcementImpression,1717428575
MapVisibilityActivityCoachmarkImpression,1714370451
MapVisibilityActivityCoachmarkImpression,1714381163
MapVisibilityActivityCoachmarkImpression,1714808182
MapVisibilityActivityCoachmarkImpression,1714808230
MapVisibilityActivityCoachmarkImpression,1714808265
MapVisibilityActivityCoachmarkImpression,1714825314
RouteFromActivityMoreOptionsButtonCoachmark,1714370393
RouteFromActivitySaveButtonCoachmark,1714808206
MapVisibilitySettingCogCoachmark,1714381238
MentionsSettingCogCoachmark,1714381238
MapsTabDirtSports,1714381218
MapsTabDirtFirstTimeExperienceFree,1714381218
OfflineMapsFirstTimeExperience,1720015125
VideoNotificationHardLimit,1720275275
VideoNotificationHardLimit,1723900337
PostSubscriptionPreviewModalImpression,1739890643
SubPreviewMapsOverlay,1716472950
SubPreviewProgressBannerDismissed,1716477733
SubPreviewGroupTab,1716472388
SubPreviewYouTab,1716470167
SubPreviewActivitiesFeedBanner,1716470166
SubPreviewActivitiesFeedBanner,1716472504
SubPreviewActivitiesFeedBanner,1716477737
SubPreviewProgressBanner,1716470166
SubPreviewProgressBanner,1716475270
SubPreviewWelcomeModalUserDismiss,1716475250
SubPreviewWelcomeModalImpression,1716472388
SubPreviewConversionModalImpression,1719261843
SubPreviewConversionModalImpression,1719328238
SubPreviewConversionModalImpression,1719345812
SubPreviewConversionModalImpression,1734100934
FollowingFeedDoradoCooldownSix,1739890615
ActivitySaveWalkthrough,1714369691
YouTabProfileMove,1713694174
RecordScreenSpotifyCoachmark,1714805650
ChatShareActivityInMessageCoachmark,1714381250
ChatFeatureTryCtaImpression,1713694648
ChatFeatureTryCtaImpression,1734100934
FlyoverEducationCoachmark,1714808196
CelebrationNthActivity1,1714370395
CelebrationNthActivity3,1715100408
CelebrationNewTypeRun,1714370452
ActivityDetailsShareCoachmark,1715100407
HealthDataConsentNotification,1718640818
HealthDataConsentNotification,1721460657
CelebrationNthActivity30,1722452797
CelebrationNthActivity40,1725439204
CelebrationNthActivity50,1729007933
MapsRedesignModalUnseen,1713694398
MapRedesignTooltipSavedUnseen,1713694649
VerifiedSegmentsInfoCoachmark,1720015415
VerifiedSegmentsInfoCoachmark,1720015466
HideStartTime,1721385600
TermsOfServiceModal2024,1736752258
ProfileOnHome,1736876637
